iter	Passed	Remaining
398	323743	487644
399	324534	486801
400	325187	485753
401	326039	485004
402	326828	484159
403	327610	483306
404	328362	482409
405	329185	481616
406	329929	480707
407	330723	479873
408	331489	478998
409	332331	478232
410	333130	477406
411	333858	476477
412	334683	475687
413	335530	474930
414	336339	474116
415	337238	473430
416	338055	472629
417	338776	471693
418	339494	470754
419	340312	469955
420	341153	469187
421	342049	468494
422	342975	467841
423	343819	467075
424	344678	466329
425	345474	465498
426	346295	464700
427	347120	463908
428	348086	463303
429	348878	462466
430	349671	461631
431	350554	460913
432	351363	460099
433	352162	459271
434	352975	458461
435	353777	457638
436	354508	456723
437	355309	455899
438	356120	455087
439	356942	454289
440	357714	453430
441	358443	452514
442	359224	451666
443	360126	450969
444	360857	450058
445	361666	449245
446	362493	448453
447	363372	447726
448	364178	446909
449	365071	446198
450	365976	445501
451	366792	444695
452	367683	443979
453	368464	443131
454	369268	442310
455	370000	441403
456	370849	440637
457	371607	439763
458	372423	438956
459	373383	438319
460	374202	437516
461	374999	436688
462	375793	435855
463	376514	434938
464	377314	434114
465	378047	433213
466	378844	432386
467	379581	431489
468	380372	430656
469	381182	429844
470	382042	429087
471	382858	428281
472	383673	427475
473	384511	426693
474	385302	425860
475	386073	425005
476	386918	424231
477	387822	423521
478	388650	422728
479	389448	421902
480	390236	421066
481	391012	420216
482	391863	419447
483	392662	418623
484	393536	417878
485	394366	417087
486	395102	416196
487	395954	415427
488	396723	414572
489	397493	413717
490	398244	412844
491	398962	411936
492	399789	411142
493	400664	410397
494	401615	409729
495	402467	408958
496	403320	408189
497	404111	407357
498	404906	406529
499	405753	405753
500	406678	405054
501	407556	404308
502	408329	403458
503	409108	402614
504	409916	401799
505	410698	400958
506	411477	400115
507	412349	399361
508	413192	398580
509	414080	397842
510	414952	397087
511	415746	396258
512	416599	395484
513	417459	394718
514	418264	393899
515	419184	393188
516	419991	392371
517	420858	391609
518	421795	390912
519	422846	390319
520	423817	389651
521	424699	388901
522	425604	388170
523	426520	387450
524	427379	386676
525	428192	385861
526	429063	385098
527	429935	384336
528	430943	383694
529	431749	382872
530	432703	382180
531	433538	381383
532	434459	380661
533	435321	379887
534	436205	379131
535	437065	378355
536	437961	377608
537	438872	376875
538	439792	376148
539	440707	375417
540	441612	374677
541	442527	373944
542	443394	373170
543	444207	372350
544	445099	371596
545	445959	370816
546	446751	369978
547	447681	369255
548	448649	368562
549	449570	367830
550	450426	367044
551	451362	366323
552	452248	365560
553	453103	364773
554	453965	363990
555	454886	363254
556	455730	362457
557	456642	361712
558	457702	361085
559	458667	360381
560	459511	359582
561	460334	358766
562	461288	358051
563	462344	357415
564	463186	356612
565	464030	355810
566	464832	354978
567	465610	354126
568	466461	353330
569	467294	352520
570	468275	351821
571	469107	351010
572	469960	350214
573	470794	349404
574	471659	348618
575	472707	347965
576	473651	347234
577	474588	346499
578	475508	345749
579	476407	344984
580	477379	344271
581	478349	343557
582	479350	342863
583	480247	342094
